Series,Date,Gain,news,Volume
1,1981-01-02,0.0,,21660800
1,1981-01-05,-0.000558,,35728000
1,1981-01-06,-0.000558,,45158400
1,1981-01-07,-0.0005579999999999,,55686400
1,1981-01-08,-0.000558,,39827200
1,1981-01-09,0.0,,21504000
1,1981-01-12,-0.001116,,23699200
1,1981-01-13,-0.000558,,23049600
1,1981-01-14,0.0,,14291200
1,1981-01-15,0.0,,14067200
1,1981-01-16,-0.000558,,13395200
1,1981-01-19,0.0,,41574400
1,1981-01-20,-0.000558,,30083200
1,1981-01-21,0.0,,15904000
1,1981-01-22,0.0,,35548800
1,1981-01-23,-0.000558,,11222400
1,1981-01-26,-0.000558,,24640000
1,1981-01-27,-0.0011159999999999,,23699200
1,1981-01-28,-0.000558,,28156800
1,1981-01-29,-0.000558,,43904000
1,1981-01-30,-0.001116,,46188800
1,1981-02-02,-0.000558,,23766400
1,1981-02-03,0.0,,19152000
1,1981-02-04,0.0,,27865600
1,1981-02-05,0.0,,7929600
1,1981-02-06,0.0,,13865600
1,1981-02-09,-0.001116,,16755200
1,1981-02-10,0.0,,18345600
1,1981-02-11,-0.000558,,13843200
1,1981-02-12,-0.000559,,14560000
1,1981-02-13,-0.001116,,11155200
1,1981-02-17,0.0,,12275200
1,1981-02-18,0.0,,19241600
1,1981-02-19,-0.000558,,22310400
1,1981-02-20,-0.000558,,24371200
1,1981-02-23,0.0,,14112000
1,1981-02-24,-0.001116,,16979200
1,1981-02-25,0.0,,19488000
1,1981-02-26,0.0,,10841600
1,1981-02-27,0.0,,14761600
1,1981-03-02,0.0,,11760000
1,1981-03-03,-0.000558,,16172800
1,1981-03-04,-0.000558,,13708800
1,1981-03-05,-0.0005579999999999,,5376000
1,1981-03-06,-0.001116,,11603200
1,1981-03-09,-0.000558,,15321600
1,1981-03-10,-0.000558,,28380800
1,1981-03-11,-0.001116,,29859200
1,1981-03-12,0.0,,59248000
1,1981-03-13,-0.000558,,231302400
1,1981-03-16,0.0,,37228800
1,1981-03-17,0.0,,43747200
1,1981-03-18,0.0,,36937600
1,1981-03-19,-0.000558,,37811200
1,1981-03-20,0.0,,14604800
1,1981-03-23,0.0,,22019200
1,1981-03-24,-0.000558,,28156800
1,1981-03-25,-0.001117,,7056000
1,1981-03-26,-0.000558,,12275200
1,1981-03-27,-0.0005579999999999,,12252800
1,1981-03-30,0.0,,9900800
1,1981-03-31,-0.001116,,15993600
1,1981-04-01,-0.000558,,34070400
1,1981-04-02,0.0,,31404800
1,1981-04-03,0.0,,16486400
1,1981-04-06,-0.000558,,22803200
1,1981-04-07,-0.000558,,10684800
1,1981-04-08,0.0,,21952000
1,1981-04-09,0.0,,12499200
1,1981-04-10,0.0,,33465600
1,1981-04-13,0.0,,16060800
1,1981-04-14,0.0,,6652800
1,1981-04-15,-0.0005579999999999,,34048000
1,1981-04-16,-0.000558,,23878400
1,1981-04-20,0.0,,35347200
1,1981-04-21,0.0,,28537600
1,1981-04-22,0.0,,18995200
1,1981-04-23,0.0,,58016000
1,1981-04-24,-0.001116,,35056000
1,1981-04-27,-0.000558,,38528000
1,1981-04-28,-0.000558,,32188800
1,1981-04-29,-0.000558,,13641600
1,1981-04-30,0.0,,12611200
1,1981-05-01,0.0,,16553600
1,1981-05-04,-0.000558,,14448000
1,1981-05-05,-0.000558,,17539200
1,1981-05-06,-0.000558,,18950400
1,1981-05-07,0.0,,9363200
1,1981-05-08,0.0,,7907200
1,1981-05-11,-0.000558,,11939200
1,1981-05-12,0.0,,4256000
1,1981-05-13,-0.000558,,4905600
1,1981-05-14,-0.0011159999999999,,4928000
1,1981-05-15,0.0,,4905600
1,1981-05-18,0.0,,4166400
1,1981-05-19,-0.000558,,25424000
1,1981-05-20,0.0,,13283200
1,1981-05-21,0.0,,32211200
1,1981-05-22,0.0,,31427200
1,1981-05-26,-0.000558,,85344000
1,1981-05-27,0.0,,149497600
1,1981-05-28,0.0,,73987200
1,1981-05-29,0.0,,59382400
1,1981-06-01,0.0,,51251200
1,1981-06-02,-0.000558,,40432000
1,1981-06-03,0.0,,39446400
1,1981-06-04,0.0,,56067200
1,1981-06-05,-0.000558,,57680000
1,1981-06-08,-0.000558,,93497600
1,1981-06-09,0.0,,119593600
1,1981-06-10,0.0,,25222400
1,1981-06-11,0.0,,38976000
1,1981-06-12,-0.000558,,25804800
1,1981-06-15,-0.000558,,143763200
1,1981-06-16,-0.000558,,37251200
1,1981-06-17,-0.000558,,27574400
1,1981-06-18,-0.000558,,23049600
1,1981-06-19,-0.000558,,27507200
1,1981-06-22,-0.000558,,10841600
1,1981-06-23,0.0,,15030400
1,1981-06-24,-0.001116,,23027200
1,1981-06-25,0.0,,24259200
1,1981-06-26,-0.001116,,23788800
1,1981-06-29,-0.001116,,10595200
1,1981-06-30,-0.000558,,35907200
1,1981-07-01,-0.000558,,170464000
1,1981-07-02,0.0,,30284800
1,1981-07-06,-0.001116,,16531200
1,1981-07-07,0.0,,15836800
1,1981-07-08,0.0,,16620800
1,1981-07-09,-0.0005579999999999,,32883200
1,1981-07-10,-0.000558,,55171200
1,1981-07-13,0.0,,45740800
1,1981-07-14,0.0,,19779200
1,1981-07-15,0.0,,10953600
1,1981-07-16,0.0,,15232000
1,1981-07-17,0.0,,19824000
1,1981-07-20,-0.0005579999999999,,23654400
1,1981-07-21,-0.000558,,31942400
1,1981-07-22,-0.001117,,22668800
1,1981-07-23,0.0,,34451200
1,1981-07-24,0.0,,28851200
1,1981-07-27,0.0,,17337600
1,1981-07-28,-0.0005579999999999,,22848000
1,1981-07-29,-0.000558,,15500800
1,1981-07-30,0.0,,9900800
1,1981-07-31,0.0,,10953600
1,1981-08-03,-0.0011159999999999,,12432000
1,1981-08-04,0.0,,31673600
1,1981-08-05,0.0,,17494400
1,1981-08-06,-0.000558,,10528000
1,1981-08-07,0.0,,9206400
1,1981-08-10,0.0,,0
1,1981-08-11,-0.001116,,71456000
1,1981-08-12,-0.000558,,26275200
1,1981-08-13,-0.000558,,27484800
1,1981-08-14,-0.0011159999999999,,24192000
1,1981-08-17,-0.001116,,18905600
1,1981-08-18,-0.001116,,17001600
1,1981-08-19,-0.001116,,20675200
1,1981-08-20,0.0,,17113600
1,1981-08-21,-0.001116,,41910400
1,1981-08-24,-0.0005579999999999,,23072000
1,1981-08-25,0.0,,40700800
1,1981-08-26,-0.000558,,33600000
1,1981-08-27,0.0,,25916800
1,1981-08-28,0.0,,38035200
1,1981-08-31,0.0,,40947200
1,1981-09-01,0.0,,37027200
1,1981-09-02,0.0,,19376000
1,1981-09-03,-0.0011159999999999,,37475200
1,1981-09-04,-0.000558,,15254400
1,1981-09-08,-0.000558,,25446400
1,1981-09-09,0.0,,30531200
1,1981-09-10,0.0,,34809600
1,1981-09-11,-0.000558,,17539200
1,1981-09-14,-0.000558,,27686400
1,1981-09-15,-0.000558,,19510400
1,1981-09-16,-0.000558,,19353600
1,1981-09-17,-0.000558,,19376000
1,1981-09-18,0.0,,26320000
1,1981-09-21,0.0,,49033600
1,1981-09-22,-0.000558,,47420800
1,1981-09-23,-0.0011159999999999,,28201600
1,1981-09-24,-0.000558,,18300800
1,1981-09-25,-0.0011159999999999,,34608000
1,1981-09-28,0.0,,91728000
1,1981-09-29,0.0,,94684800
1,1981-09-30,0.0,,49996800
1,1981-10-01,0.0,,61129600
1,1981-10-02,0.0,,45046400
1,1981-10-05,0.0,,43097600
1,1981-10-06,-0.000558,,28358400
1,1981-10-07,0.0,,38841600
1,1981-10-08,0.0,,31091200
1,1981-10-09,0.0,,54521600
1,1981-10-12,0.0,,27350400
1,1981-10-13,0.0,,44195200
1,1981-10-14,-0.000558,,30979200
1,1981-10-15,0.0,,29433600
1,1981-10-16,-0.000558,,36467200
1,1981-10-19,0.0,,20585600
1,1981-10-20,0.0,,35728000
1,1981-10-21,0.0,,76899200
1,1981-10-22,-0.0005579999999999,,32278400
1,1981-10-23,-0.000558,,27910400
1,1981-10-26,0.0,,27283200
1,1981-10-27,0.0,,85590400
1,1981-10-28,0.0,,44172800
1,1981-10-29,-0.000558,,30486400
1,1981-10-30,0.0,,52729600
1,1981-11-02,0.0,,36915200
1,1981-11-03,-0.000558,,28380800
1,1981-11-04,-0.000558,,23811200
1,1981-11-05,-0.000558,,23363200
1,1981-11-06,0.0,,24595200
1,1981-11-09,0.0,,20384000
1,1981-11-10,0.0,,16755200
1,1981-11-11,0.0,,27440000
1,1981-11-12,0.0,,39916800
1,1981-11-13,-0.000558,,21011200
1,1981-11-16,-0.000558,,22556800
1,1981-11-17,0.0,,35414400
1,1981-11-18,0.0,,29142400
1,1981-11-19,0.0,,40006400
1,1981-11-20,0.0,,38102400
1,1981-11-23,-0.001116,,22960000
1,1981-11-24,-0.000558,,22153600
1,1981-11-25,0.0,,52550400
1,1981-11-27,0.0,,37251200
1,1981-11-30,-0.000558,,23968000
1,1981-12-01,0.0,,23385600
1,1981-12-02,0.0,,37564800
1,1981-12-03,-0.000558,,20428800
1,1981-12-04,0.0,,137155200
1,1981-12-07,0.0,,59292800
1,1981-12-08,-0.0011159999999999,,50624000
1,1981-12-09,0.0,,34272000
1,1981-12-10,0.0,,37408000
1,1981-12-11,-0.000558,,76092800
1,1981-12-14,-0.001116,,25244800
1,1981-12-15,0.0,,31315200
1,1981-12-16,0.0,,65452800
1,1981-12-17,0.0,,51452800
1,1981-12-18,0.0,,71724800
1,1981-12-21,-0.0005579999999999,,56403200
1,1981-12-22,0.0,,53827200
1,1981-12-23,-0.000558,,28896000
1,1981-12-24,0.0,,28918400
1,1981-12-28,-0.001116,,36579200
1,1981-12-29,0.0,,24236800
1,1981-12-30,0.0,,32188800
1,1981-12-31,0.0,,54656000
1,1982-01-04,-0.000558,,71254400
1,1982-01-05,-0.001116,,35840000
1,1982-01-06,-0.0005579999999999,,66080000
1,1982-01-07,-0.001117,,70044800
1,1982-01-08,0.0,,56604800
1,1982-01-11,-0.000558,,33331200
1,1982-01-12,-0.000558,,59920000
1,1982-01-13,-0.000558,,41753600
1,1982-01-14,0.0,,25715200
1,1982-01-15,0.0,,46704000
1,1982-01-18,0.0,,28000000
1,1982-01-19,-0.0011159999999999,,55507200
1,1982-01-20,0.0,,25827200
1,1982-01-21,0.0,,33331200
1,1982-01-22,0.0,,24259200
1,1982-01-25,-0.000558,,44710400
1,1982-01-26,-0.0011159999999999,,21212800
1,1982-01-27,0.0,,31360000
1,1982-01-28,0.0,,39603200
1,1982-01-29,0.0,,53155200
1,1982-02-01,-0.001116,,38528000
1,1982-02-02,0.0,,54275200
1,1982-02-03,0.0,,31472000
1,1982-02-04,-0.000558,,22041600
1,1982-02-05,0.0,,40297600
1,1982-02-08,-0.000558,,31696000
1,1982-02-09,0.0,,57904000
1,1982-02-10,0.0,,38796800
1,1982-02-11,-0.000558,,24528000
1,1982-02-12,0.0,,19644800
1,1982-02-16,-0.0005579999999999,,34316800
1,1982-02-17,0.0,,25580800
1,1982-02-18,0.0,,28380800
1,1982-02-19,-0.000558,,13596800
1,1982-02-22,-0.000558,,26633600
1,1982-02-23,-0.000558,,34540800
1,1982-02-24,0.0,,37945600
1,1982-02-25,-0.000558,,30800000
1,1982-02-26,0.0,,17427200
1,1982-03-01,0.0,,35302400
1,1982-03-02,0.0,,34809600
1,1982-03-03,0.0,,23654400
1,1982-03-04,-0.000558,,38371200
1,1982-03-05,-0.000558,,45315200
1,1982-03-08,-0.000558,,35145600
1,1982-03-09,0.0,,52505600
1,1982-03-10,-0.000558,,86934400
1,1982-03-11,0.0,,22579200
1,1982-03-12,-0.000558,,46547200
1,1982-03-15,-0.000558,,51363200
1,1982-03-16,-0.0005579999999999,,47152000
1,1982-03-17,-0.000558,,50489600
1,1982-03-18,0.0,,56336000
1,1982-03-19,0.0,,65811200
1,1982-03-22,0.0,,69193600
1,1982-03-23,-0.000558,,55955200
1,1982-03-24,-0.000558,,51609600
1,1982-03-25,-0.0005579999999999,,84112000
1,1982-03-26,-0.000558,,50780800
1,1982-03-29,0.0,,67603200
1,1982-03-30,0.0,,77952000
1,1982-03-31,0.0,,50153600
1,1982-04-01,0.0,,59136000
1,1982-04-02,0.0,,84806400
1,1982-04-05,0.0,,86643200
1,1982-04-06,-0.000558,,71590400
1,1982-04-07,-0.000558,,29097600
1,1982-04-08,0.0,,23990400
1,1982-04-12,-0.000558,,44307200
1,1982-04-13,-0.0005579999999999,,85299200
1,1982-04-14,0.0,,113590400
1,1982-04-15,0.0,,164281600
1,1982-04-16,0.0,,104048000
1,1982-04-19,-0.0011159999999999,,41283200
1,1982-04-20,-0.000558,,80550400
1,1982-04-21,-0.000559,,73024000
1,1982-04-22,-0.0005579999999999,,52595200
1,1982-04-23,0.0,,48294400
1,1982-04-26,0.0,,57926400
1,1982-04-27,-0.000558,,70268800
1,1982-04-28,-0.000558,,99232000
1,1982-04-29,0.0,,82230400
1,1982-04-30,0.0,,277401600
1,1982-05-03,0.0,,82700800
1,1982-05-04,0.0,,73987200
1,1982-05-05,-0.001117,,53939200
1,1982-05-06,0.0,,75465600
1,1982-05-07,0.0,,84716800
1,1982-05-10,-0.0005579999999999,,31606400
1,1982-05-11,-0.000558,,103017600
1,1982-05-12,-0.000558,,71008000
1,1982-05-13,0.0,,54454400
1,1982-05-14,-0.001116,,95737600
1,1982-05-17,-0.000558,,76204800
1,1982-05-18,-0.000558,,122035200
1,1982-05-19,-0.000558,,75286400
1,1982-05-20,0.0,,27619200
1,1982-05-21,0.0,,38841600
1,1982-05-24,0.0,,31987200
1,1982-05-25,0.0,,51564800
1,1982-05-26,-0.0005579999999999,,43276800
1,1982-05-27,-0.000558,,31248000
1,1982-05-28,0.0,,19196800
1,1982-06-01,-0.0005579999999999,,47600000
1,1982-06-02,0.0,,32905600
1,1982-06-03,-0.0011159999999999,,39760000
1,1982-06-04,-0.000558,,37676800
1,1982-06-07,0.0,,37161600
1,1982-06-08,-0.000558,,31404800
1,1982-06-09,-0.000558,,33846400
1,1982-06-10,0.0,,34406400
1,1982-06-11,0.0,,54633600
1,1982-06-14,0.0,,29993600
1,1982-06-15,0.0,,35212800
1,1982-06-16,0.0,,41731200
1,1982-06-17,-0.000558,,29164800
1,1982-06-18,-0.0011159999999999,,19868800
1,1982-06-21,0.0,,28537600
1,1982-06-22,0.0,,17561600
1,1982-06-23,0.0,,52752000
1,1982-06-24,0.0,,44150400
1,1982-06-25,-0.0005579999999999,,26678400
1,1982-06-28,-0.000558,,25155200
1,1982-06-29,-0.000558,,35817600
1,1982-06-30,0.0,,67625600
1,1982-07-01,-0.0005579999999999,,55731200
1,1982-07-02,-0.0005579999999999,,58105600
1,1982-07-06,-0.0005579999999999,,87696000
1,1982-07-07,0.0,,30374400
1,1982-07-08,-0.000558,,164326400
1,1982-07-09,0.0,,128419200
1,1982-07-12,0.0,,63392000
1,1982-07-13,0.0,,114374400
1,1982-07-14,0.0,,71120000
1,1982-07-15,0.0,,65788800
1,1982-07-16,0.0,,77011200
1,1982-07-19,0.0,,83776000
1,1982-07-20,0.0,,49705600
1,1982-07-21,0.0,,71702400
1,1982-07-22,0.0,,35212800
1,1982-07-23,-0.000558,,18300800
1,1982-07-26,-0.0005579999999999,,56851200
1,1982-07-27,0.0,,32323200
